force_x_max,force_y_max,force_z_max,vb_x_max,vb_y_max,vb_z_max,ae_rms_max,force_x_median,force_y_median,force_z_median,vb_x_median,vb_y_median,vb_z_median,ae_rms_median,force_x_mean,force_y_mean,force_z_mean,vb_x_mean,vb_y_mean,vb_z_mean,ae_rms_mean,force_x_std,force_y_std,force_z_std,vb_x_std,vb_y_std,vb_z_std,ae_rms_std,flute_1
6.974,11.453,5.565,0.304,0.298,0.283,0.098,1.945,1.059,0.302,-0.01,-0.018,-0.022,0.03,1.840441644,1.288100503,0.343067145,-0.010536465,-0.018431536,-0.022516604,0.031738745,1.697719483,2.498914991,1.411209482,0.075274099,0.0739416,0.075660732,0.011924385,31.41635516
6.974,11.453,5.565,0.304,0.298,0.283,0.098,1.945,1.059,0.302,-0.01,-0.018,-0.022,0.03,1.840441644,1.288100503,0.343067145,-0.010536465,-0.018431536,-0.022516604,0.031738745,1.697719483,2.498914991,1.411209482,0.075274099,0.0739416,0.075660732,0.011924385,34.8927704
9.765,19.054,7.866,0.38,0.339,0.354,0.164,2.483,1.396,0.505,-0.006,-0.011,-0.013,0.055,2.453194731,1.914360212,0.635874943,-0.005737606,-0.010428618,-0.01322185,0.056294358,2.611067425,4.493779093,2.128592076,0.083203969,0.07996356,0.085453935,0.01797,38.10284657
11.524,23.878,10.008,0.371,0.346,0.391,0.189,2.896,1.53,0.601,-0.001,-0.004,-0.005,0.072,2.898147761,2.306754717,0.894189322,-0.001712507,-0.004871457,-0.006356206,0.074630356,3.135452735,5.502992637,2.729135546,0.084156825,0.081368691,0.088180324,0.024344862,41.06102301
11.112,20.085,10.688,0.379,0.345,0.391,0.232,2.11,1.4485,1.119,0.012,0.016,0.021,0.073,2.490281991,2.052757655,1.370334798,0.011647784,0.015103202,0.020129967,0.074917117,2.857641772,5.4857558,2.807661423,0.082905377,0.08003768,0.086740915,0.023767741,43.78119133
11.28,22.321,11.036,0.366,0.322,0.391,0.257,2.239,1.687,1.217,-0.003,-0.011,-0.013,0.082,2.703387507,2.340556188,1.577809515,-0.003065956,-0.01143106,-0.013410636,0.086376973,2.827251188,5.462545741,3.057324835,0.083220546,0.080289588,0.08609678,0.029264349,46.27671037
12.29,22.92,11.658,0.361,0.39,0.353,0.248,2.354,1.804,1.269,-0.005,-0.011,-0.014,0.092,2.843566116,2.494697995,1.710977737,-0.005828965,-0.010959908,-0.013995039,0.096090228,2.823837774,5.542051507,3.243162308,0.0846632,0.081802994,0.087691853,0.032435809,48.56042098
12.195,23.758,12.804,0.386,0.337,0.365,0.262,2.497,1.951,1.324,-0.002,-0.006,-0.007,0.099,3.008041451,2.638893498,1.838507272,-0.002287739,-0.006153111,-0.007406967,0.103608832,2.876927674,5.665001679,3.464519319,0.085027959,0.082030618,0.088048001,0.034126595,50.64466037
11.627,25.026,11.341,0.399,0.374,0.384,0.297,2.624,1.874,-0.36,0.008,0.01,0.014,0.11,2.962813152,2.547601934,0.230293519,0.007316862,0.00988768,0.013403894,0.114894199,2.46701414,5.431291147,3.547876147,0.086451265,0.083607626,0.087754703,0.036870001,52.54127629
11.687,26.313,11.997,0.387,0.371,0.368,0.282,2.728,2.02,-0.328,-0.002,-0.01,-0.012,0.115,3.084145675,2.724180609,0.373009689,-0.002588245,-0.009604205,-0.01157431,0.120091851,2.510425984,5.506185016,3.78689426,0.085670149,0.082709055,0.087268448,0.038389556,54.26164088
12.517,25.019,11.787,0.36,0.344,0.362,0.297,2.796,2.116,-0.275,-0.003,-0.007,-0.009,0.112,3.158945444,2.830361893,0.478874844,-0.003195721,-0.007303214,-0.00874783,0.115966683,2.532651907,5.489338793,3.88576989,0.083229649,0.080306222,0.085171947,0.039592924,55.81666418
12.548,26.644,12.828,0.382,0.359,0.384,0.354,2.934,2.292,-0.214,-0.002,-0.006,-0.007,0.116,3.298163329,2.972229364,0.600217355,-0.002027289,-0.006014378,-0.007113215,0.121593593,2.568127545,5.579959315,4.092071732,0.083800139,0.080840443,0.085892363,0.039547622,57.21680745
12.041,26.165,13.28,0.413,0.412,0.402,0.299,2.828,2.124,0.728,0.018,0.023,0.031,0.113,3.110662238,2.670160099,1.542377104,0.017388836,0.023306107,0.030822703,0.119272469,2.302088517,5.170210918,3.891976925,0.087930007,0.084894677,0.089267778,0.039375754,58.47209617
11.536,26.133,13.804,0.37,0.343,0.323,0.295,2.92,2.275,0.764,-0.007,-0.018,-0.021,0.116,3.211205811,2.843583927,1.67484905,-0.007385174,-0.018390943,-0.022176963,0.120812001,2.2917076,5.215254195,4.09837762,0.088246035,0.084579825,0.088940774,0.037757863,59.59213275
12.225,26.071,14.644,0.408,0.347,0.364,0.303,3.017,2.386,0.817,-0.006,-0.011,-0.014,0.117,3.296500141,2.95201189,1.77608123,-0.006405129,-0.011402098,-0.014292883,0.122340523,2.303408361,5.29703364,4.235650027,0.08701208,0.083645677,0.088154696,0.039766054,60.58610902
12.472,25.268,14.658,0.419,0.366,0.38,0.291,3.132,2.492,0.849,-0.002,-0.006,-0.007,0.12,3.403806509,3.053628981,1.874964345,-0.002193836,-0.005557582,-0.006843536,0.125073247,2.323459405,5.360833497,4.37555621,0.08539651,0.081785076,0.086938386,0.040103867,61.46281844
12.506,26.901,14.959,0.445,0.343,0.406,0.322,3.22,2.585,0.928,-0.002,-0.006,-0.006,0.119,3.47689475,3.159386869,1.975805386,-0.002217844,-0.006139312,-0.007078967,0.12576485,2.361290604,5.392796154,4.516606239,0.086254948,0.082443804,0.087644723,0.041108762,62.23066801
12.935,27.698,16.341,0.43,0.362,0.384,0.319,3.363,2.6795,0.939,0,-0.004,-0.003,0.121,3.606957248,3.267396487,2.093847968,-0.000319083,-0.003881429,-0.004087385,0.127078412,2.402339931,5.553888499,4.715568074,0.087274184,0.083709771,0.089006517,0.041535163,62.89769001
13.372,29.711,17.207,0.405,0.394,0.379,0.322,3.578,2.852,1.026,0.001,-0.003,-0.003,0.123,3.813284334,3.465781725,2.249769298,-5.26E-05,-0.003453239,-0.003985073,0.129921858,2.479420082,5.752165879,4.977373712,0.091506027,0.087706795,0.093623868,0.042132881,63.47155339
14.004,30.134,17.39,0.426,0.382,0.376,0.322,3.698,2.967,1.088,0.001,-0.002,-0.002,0.127,3.929693617,3.591661373,2.372836395,0.000141873,-0.003108859,-0.003359717,0.133652793,2.532027194,5.829225669,5.12607788,0.093456548,0.089645372,0.09604179,0.044405476,63.959575
17.376,32.084,16.101,0.442,0.389,0.437,0.292,2.739,2.338,0.823,0.015,0.02,0.028,0.117,3.495281646,2.937880964,1.835572253,0.01423327,0.02009219,0.027048729,0.121811027,4.071719924,7.06926018,4.701674944,0.090955161,0.087669685,0.09943732,0.039655472,64.36873051
16.648,33.263,17.419,0.396,0.354,0.424,0.323,2.827,2.386,0.825,-0.006,-0.017,-0.02,0.113,3.52766332,3.005890979,1.935700467,-0.006533085,-0.016809205,-0.020448364,0.117896084,4.019797999,6.876001628,4.803118262,0.091357004,0.087893236,0.099318719,0.037993907,64.70566514
16.807,32.69,17.233,0.401,0.391,0.423,0.294,2.926,2.461,0.899,-0.005,-0.01,-0.012,0.11,3.602339931,3.087981286,2.051137309,-0.005481668,-0.01026437,-0.013074016,0.11508657,4.031871151,6.862269176,4.944542989,0.09146632,0.088252691,0.100086365,0.037538084,64.9767041
17.101,32.714,16.97,0.397,0.388,0.444,0.287,3.05,2.575,0.93,-0.002,-0.006,-0.007,0.111,3.700454317,3.221036653,2.167386472,-0.002154251,-0.005997056,-0.007151523,0.11612538,4.047527848,6.909969032,5.08773037,0.093588061,0.090132359,0.101699856,0.038288196,65.1878629
16.473,32.581,17.306,0.397,0.382,0.443,0.284,3.169,2.659,1.014,-0.001,-0.005,-0.005,0.11,3.774689501,3.299098774,2.277243123,-0.001595298,-0.005014423,-0.005832127,0.114582562,4.053179035,6.826904286,5.182908151,0.093392054,0.090082414,0.101719936,0.037351259,65.34485725
16.963,33.4,17.591,0.397,0.385,0.453,0.271,3.286,2.749,1.062,0.001,-0.003,-0.003,0.112,3.856492843,3.379063181,2.370491682,0.000311361,-0.003035309,-0.003196926,0.115955672,4.068178151,6.896901115,5.330780842,0.093006025,0.089604827,0.101354684,0.036157451,65.45311297
16.8,32.792,19.391,0.397,0.384,0.426,0.28,3.38,2.79,1.092,-0.001,-0.006,-0.006,0.11,3.91006123,3.417040536,2.427140634,-0.001613744,-0.005400638,-0.006279891,0.114129706,4.058365626,6.85867628,5.367390588,0.092537812,0.089024451,0.10128352,0.036054889,65.51777545
16.788,34.096,19.193,0.418,0.411,0.434,0.288,3.518,2.912,1.177,0.001,-0.003,-0.003,0.112,4.026787019,3.552431188,2.565358284,0.000423017,-0.003156506,-0.003212489,0.11634748,4.105052175,6.911049429,5.563759762,0.092025849,0.088856482,0.101316661,0.036350402,65.54371906
16.98,32.584,18.731,0.402,0.387,0.43,0.29,3.63,2.973,1.2045,0.001,-0.003,-0.003,0.109,4.08492668,3.597910933,2.651406057,0.000198267,-0.003382626,-0.003649252,0.113933485,4.091437566,6.875829358,5.639894906,0.093455611,0.090159917,0.10285743,0.035254308,65.54371906
17.718,33.724,21.464,0.481,0.391,0.438,0.286,3.744,3.051,1.282,0.001,-0.004,-0.004,0.112,4.16702952,3.688779589,2.75849442,-0.000202154,-0.00383027,-0.004322888,0.115761609,4.111903637,6.886926806,5.789948041,0.093978706,0.09066699,0.103449349,0.036594627,65.54371906
18.409,35.165,22.176,0.434,0.421,0.411,0.281,3.858,3.153,1.373,0.001,-0.003,-0.003,0.106,4.212361053,3.768847563,2.839893236,-0.000200079,-0.003565174,-0.004041209,0.11077994,4.106958684,6.923957375,5.860991818,0.095504374,0.092210309,0.104857495,0.035479387,65.54371906
17.689,34.12,20.425,0.403,0.369,0.425,0.282,3.957,3.254,1.398,0,-0.004,-0.004,0.109,4.309374548,3.875165769,2.955257096,-0.000373064,-0.004057742,-0.004666032,0.112799108,4.15011634,6.962379619,5.999464873,0.094552411,0.09113668,0.104359221,0.034983263,65.54371906
14.513,34.876,19.478,0.472,0.416,0.446,0.28,3.878,2.488,0.84,0.009,0.012,0.017,0.117,4.132788169,3.252399474,2.271760297,0.009089041,0.01206879,0.016416347,0.122690382,2.860836745,6.430391561,5.713566395,0.090882385,0.087598923,0.096758572,0.036802397,65.54371906
15.698,34.505,21.086,0.396,0.386,0.424,0.264,4.031,2.593,0.897,-0.002,-0.01,-0.012,0.114,4.258049918,3.382787245,2.41949343,-0.003201879,-0.010750391,-0.01296429,0.11949586,2.925537079,6.492812244,5.939546074,0.093365683,0.089951126,0.099498639,0.03593692,65.54371906
15.265,35.744,21.653,0.38,0.393,0.436,0.281,4.137,2.69,0.974,-0.004,-0.01,-0.011,0.111,4.365043893,3.452194188,2.53878535,-0.004189408,-0.009253256,-0.011415621,0.115104189,2.925443557,6.509922456,6.131358947,0.093336366,0.089854402,0.099725881,0.035413058,65.54371906
15.318,32.627,19.658,0.394,0.377,0.448,0.275,4.308,2.893,1.113,-0.002,-0.005,-0.006,0.112,4.516109004,3.627631072,2.685676877,-0.002330401,-0.005619238,-0.006677606,0.116492487,2.939175653,6.460859967,6.275918068,0.093238396,0.089809043,0.10035834,0.030539598,65.54371906
15.376,34.569,21.473,0.436,0.439,0.461,0.272,4.287,2.853,1.075,0,-0.003,-0.003,0.112,4.494817937,3.603147291,2.720702483,0.000420691,-0.002755621,-0.002880491,0.116165271,2.960092121,6.554575005,6.349047587,0.09040818,0.087021609,0.097589227,0.0343597,65.54371906
15.235,37.649,21.595,0.407,0.407,0.401,0.274,4.382,2.976,1.144,-0.001,-0.005,-0.004,0.111,4.576527296,3.709995224,2.823571055,-0.000432955,-0.00420883,-0.004687587,0.114722506,2.993117476,6.597234881,6.503670176,0.090177599,0.086872082,0.09750158,0.033910868,65.54371906
15.258,35.469,21.817,0.465,0.409,0.446,0.259,4.455,3.072,1.205,0.001,-0.003,-0.002,0.11,4.653210469,3.793223506,2.928437486,0.000628232,-0.00288167,-0.00286978,0.113952279,2.984009118,6.60329077,6.59057043,0.091755838,0.088365512,0.099357739,0.03443905,65.54371906
15.444,35.646,22.241,0.426,0.384,0.433,0.28,4.536,3.108,1.245,0,-0.004,-0.003,0.11,4.718638976,3.852719326,3.010616695,-0.000501724,-0.004306272,-0.004752751,0.114176099,2.986709935,6.618463879,6.683695808,0.093223006,0.089824166,0.100842006,0.035337199,65.54371906
15.072,35.186,23.049,0.449,0.428,0.532,0.264,4.577,3.137,1.303,0.001,-0.002,-0.002,0.108,4.749455778,3.873139582,3.077671456,0.000850371,-0.002497178,-0.002614046,0.112216423,2.975708173,6.619041203,6.744371368,0.095048498,0.091906723,0.102609879,0.033727202,65.54371906
15.927,35.465,23.17,0.443,0.387,0.43,0.27,4.676,3.245,1.383,0,-0.004,-0.004,0.109,4.830039529,3.973587202,3.19678005,3.34E-05,-0.003994444,-0.004365195,0.113407162,3.011889684,6.61828099,6.864253451,0.09504395,0.091787143,0.102835463,0.034592753,65.54371906
15.476,35.795,22.46,0.433,0.393,0.453,0.282,4.721,3.277,1.437,0,-0.003,-0.003,0.107,4.870714181,3.997199273,3.255919185,0.000429492,-0.002909606,-0.003247575,0.111910036,2.998995585,6.634090935,6.917206876,0.09400794,0.090687136,0.101851462,0.034078917,65.54371906
15.398,36.699,24.085,0.413,0.439,0.442,0.283,4.828,3.385,1.499,0,-0.004,-0.003,0.11,4.965300599,4.117113219,3.370011388,0.000388415,-0.003341752,-0.003613661,0.113916376,3.046393602,6.712469379,7.056236921,0.093292246,0.089820149,0.101487076,0.034489529,65.54371906
15.442,36.77,23.058,0.423,0.387,0.457,0.262,4.842,3.395,1.521,0,-0.003,-0.003,0.106,4.966557215,4.123890704,3.421260835,0.000232177,-0.00356316,-0.003957309,0.110484216,3.007410557,6.682075138,7.066056744,0.091420745,0.088124336,0.09992396,0.033871669,65.54371906
16.675,36.514,24.129,0.42,0.43,0.425,0.256,4.951,3.445,1.589,0,-0.003,-0.003,0.109,5.059639737,4.183108364,3.508784459,3.51E-05,-0.003564003,-0.004025788,0.113104448,3.043027927,6.722398318,7.184013348,0.091713449,0.088435621,0.100391614,0.03390061,65.54371906
15.739,37.241,24.06,0.417,0.405,0.487,0.256,5,3.53,1.675,0,-0.004,-0.003,0.106,5.087391311,4.241725786,3.591660333,0.00029833,-0.003718003,-0.003938811,0.11019562,3.037647706,6.688295572,7.202257405,0.093145407,0.089971236,0.101993896,0.033187249,65.54371906
15.925,36.221,23.508,0.405,0.431,0.448,0.256,5.113,3.622,1.705,0,-0.003,-0.003,0.108,5.190052339,4.348255688,3.69049746,0.000528521,-0.00311343,-0.003322177,0.112860894,3.070209545,6.738901475,7.37721325,0.095015256,0.091917043,0.104035162,0.03399904,65.54371906
15.529,37.496,24.293,0.494,0.404,0.458,0.255,5.15,3.704,1.725,0,-0.004,-0.004,0.107,5.209424436,4.378211755,3.748663513,6.93E-05,-0.00348089,-0.003954427,0.111917541,3.100070172,6.711958589,7.388877647,0.095852625,0.092578527,0.1049401,0.033157932,65.54371906
16.336,37.4,26.263,0.41,0.452,0.451,0.28,5.247,3.801,1.829,0,-0.004,-0.004,0.108,5.293236265,4.489817381,3.883461403,-0.000226352,-0.004106652,-0.004699428,0.112993113,3.134859804,6.729846265,7.561399735,0.094959537,0.091710114,0.104395562,0.034722491,65.54371906
15.642,37.256,24.977,0.396,0.395,0.454,0.267,5.297,3.778,1.867,0.001,-0.003,-0.002,0.109,5.32565876,4.468314519,3.915313404,0.000553022,-0.002745955,-0.003149914,0.114131223,3.130591121,6.714223644,7.588442262,0.092893876,0.089488799,0.102643016,0.035475242,65.54371906
16.114,36.591,25.761,0.441,0.39,0.483,0.255,5.357,3.89,1.934,0,-0.004,-0.003,0.108,5.384180899,4.574596259,4.020091249,0.000132823,-0.004085218,-0.004386305,0.113062109,3.163687036,6.74624214,7.681297666,0.091758431,0.088362411,0.101859103,0.034425184,65.54371906
15.655,38.966,26.438,0.473,0.447,0.444,0.263,5.401,3.977,2.009,0,-0.005,-0.004,0.107,5.417749759,4.665887897,4.109652263,-0.000228196,-0.004294851,-0.004722747,0.11216741,3.148177506,6.728408139,7.754294909,0.091947933,0.088710514,0.102217118,0.034551809,65.54371906
15.792,37.982,25.859,0.465,0.446,0.437,0.28,5.481,4.013,2.025,0.001,-0.003,-0.002,0.108,5.488572998,4.676610324,4.188471048,0.000598753,-0.002931103,-0.003384259,0.113780495,3.194369005,6.74654674,7.842455043,0.093370732,0.09000698,0.103825885,0.036569554,65.54371906
15.984,37.336,25.734,0.425,0.399,0.419,0.278,5.497,4.041,2.108,0,-0.003,-0.002,0.106,5.489421351,4.708535253,4.240458139,0.000172813,-0.003266979,-0.003404729,0.111137956,3.180285003,6.72132161,7.832921322,0.094735555,0.09142293,0.105102167,0.03481699,65.54371906
15.763,38.617,26.621,0.421,0.398,0.428,0.27,5.562,4.134,2.189,0,-0.004,-0.004,0.106,5.547737169,4.809059203,4.33738365,-0.000350274,-0.004625001,-0.005110507,0.111800008,3.208787841,6.742086783,7.896927756,0.09547335,0.092281611,0.105941294,0.033670945,65.54371906
15.538,37.774,26,0.424,0.393,0.46,0.271,5.626,4.187,2.251,0,-0.004,-0.004,0.106,5.610233937,4.869172432,4.441748726,6.80E-05,-0.003482582,-0.004008346,0.112449251,3.247377638,6.778885154,7.990263977,0.095232134,0.091921998,0.105637985,0.035035365,65.54371906
15.979,38.609,26.58,0.455,0.475,0.507,0.256,5.705,4.245,2.299,0.001,-0.003,-0.002,0.106,5.674183349,4.92450343,4.516039618,0.000787574,-0.002928493,-0.002953621,0.111190867,3.305322075,6.770995895,8.09013309,0.092936728,0.089537645,0.104187527,0.03319625,65.54371906
15.918,40.317,28.599,0.412,0.396,0.476,0.248,5.782,4.377,2.405,-0.001,-0.005,-0.005,0.106,5.756370298,5.023907334,4.621702455,-0.000607168,-0.004623363,-0.005311991,0.111988582,3.344917654,6.789799282,8.18077301,0.092158316,0.088658073,0.103845245,0.032906873,65.54371906
15.616,39.58,27.821,0.447,0.417,0.417,0.255,5.834,4.424,2.432,0,-0.003,-0.002,0.105,5.800925887,5.110138951,4.717111904,9.09E-05,-0.003225944,-0.003767214,0.110670763,3.377205183,6.844413843,8.281605259,0.092187503,0.088712747,0.103825119,0.034385582,65.54371906
15.63,38.584,27.107,0.482,0.437,0.453,0.287,5.88,4.506,2.512,0,-0.004,-0.003,0.104,5.81815167,5.174002794,4.795872912,-6.08E-05,-0.004126143,-0.00449571,0.10985635,3.420677625,6.793388965,8.317989945,0.094210671,0.090832909,0.105993303,0.035201942,65.54371906
16.121,38.737,28.356,0.438,0.426,0.509,0.281,5.962,4.552,2.549,0.001,-0.002,-0.001,0.104,5.889473139,5.239484602,4.870072577,0.001095897,-0.002311036,-0.002420527,0.110389273,3.443341791,6.904515807,8.438561624,0.096426324,0.092946806,0.107896067,0.036786978,65.54371906
16.114,39.507,28.733,0.424,0.41,0.462,0.249,6.084,4.678,2.599,0,-0.004,-0.0035,0.104,5.99881825,5.350858951,4.981747634,0.00015694,-0.003596179,-0.003909248,0.109768965,3.494191216,6.917140532,8.546880779,0.096804217,0.093410812,0.108875849,0.03454591,65.54371906
16.521,41.11,28.58,0.418,0.419,0.476,0.247,6.175,4.732,2.663,-0.001,-0.005,-0.005,0.105,6.067967209,5.40983212,5.076776453,-0.000808263,-0.004787313,-0.005902366,0.111303359,3.552205571,6.972928552,8.611078639,0.09602393,0.092460654,0.108172486,0.035059762,65.54371906
16.593,37.277,25.535,0.387,0.387,0.446,0.273,5.936,3.364,0.101,0.014,0.018,0.026,0.116,5.739929471,3.895738304,2.414028799,0.013485199,0.017775305,0.024294005,0.121093733,3.398398309,6.726823359,8.205383593,0.08635919,0.082762353,0.097889551,0.037878956,65.54371906
15.862,37.385,26.315,0.407,0.319,0.382,0.305,6.201,3.378,0.218,-0.006,-0.015,-0.017,0.107,5.934561082,3.944909485,2.61585794,-0.005929015,-0.01496293,-0.01851136,0.113438726,3.430099021,6.869188663,8.633613603,0.085937235,0.081706664,0.098548,0.037159777,65.54371906
16.577,38.464,26.521,0.409,0.332,0.496,0.288,6.251,3.452,0.253,-0.005,-0.011,-0.011,0.104,5.973711902,4.020470972,2.698848971,-0.005234066,-0.010616868,-0.012673059,0.109972456,3.488948867,6.868279532,8.736999477,0.084015006,0.079947711,0.097449381,0.035614491,65.58464803
16.18,37.843,26.425,0.466,0.383,0.437,0.248,6.329,3.571,0.338,-0.001,-0.004,-0.003,0.103,6.061194179,4.111494103,2.79869498,-0.001373645,-0.004177364,-0.004957882,0.109154933,3.552989696,6.906114617,8.878445877,0.084033552,0.08004307,0.098063672,0.034590006,65.89045864
15.919,37.945,26.85,0.482,0.404,0.384,0.27,6.405,3.654,0.388,-0.001,-0.004,-0.004,0.105,6.115411078,4.19053624,2.885105184,-0.000930868,-0.005031581,-0.005389696,0.11169927,3.627358345,6.933733807,8.965805157,0.085169598,0.081068143,0.09877379,0.037266646,66.21371695
16.553,38.37,26.767,0.463,0.375,0.419,0.263,6.421,3.697,0.46,-0.001,-0.005,-0.004,0.105,6.123585913,4.268122251,2.946377615,-0.001549015,-0.005183741,-0.006131024,0.111019137,3.644803712,6.912056756,8.919996947,0.087606026,0.083417382,0.100732887,0.035854638,66.55393858
